City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,tsiombe,-25.3,45.4833,24.12,92,41,0.89,MG,1702244919
134,lockwood,45.8191,-108.4149,9.94,40,75,11.32,US,1702244676
135,gandajika,-6.75,23.95,20.23,96,100,1.44,CD,1702244865
136,capula,19.7,-101.8,13.67,54,100,1.41,MX,1702244919
137,kapuskasing,49.4169,-82.4331,-5.95,93,100,4.12,CA,1702244652
138,salair,54.2312,85.7972,-29.86,98,55,0.32,RU,1702244920
139,longyearbyen,78.2186,15.6401,-0.09,69,40,7.2,SJ,1702244920
140,flying fish cove,-10.4217,105.6791,24.82,83,75,2.57,CX,1702244921
141,bethel,41.3712,-73.414,14.39,90,100,4.12,US,1702244921
142,dodge city,37.7528,-100.0171,10.14,31,0,7.2,US,1702244921
143,girvan,55.2426,-4.8555,5.0,91,100,5.47,GB,1702244921
144,emerald,-23.5333,148.1667,22.97,63,48,7.31,AU,1702244922
145,coal city,41.2878,-88.2856,0.83,82,100,6.17,US,1702244878
146,chibougamau,49.9168,-74.3659,0.79,93,100,5.14,CA,1702244922
147,fuerte olimpo,-21.0415,-57.8738,23.23,94,100,2.53,PY,1702244923
148,margaret river,-33.95,115.0667,13.21,59,0,5.29,AU,1702244923
149,chegdomyn,51.1167,133.0167,-29.79,97,78,1.02,RU,1702244923
150,whitehorse,60.7161,-135.0538,-15.11,84,75,1.03,CA,1702244923
151,gamay,12.3854,125.2979,25.49,89,100,3.37,PH,1702244924
152,coalinga,36.1397,-120.3602,15.14,32,100,1.84,US,1702244924
153,kirakira,-10.4544,161.9205,27.74,79,89,1.07,SB,1702244924
154,santa cruz,-17.8,-63.1667,34.03,46,75,5.14,BO,1702244658
155,kashgar,39.4547,75.9797,-1.44,64,20,1.0,CN,1702244925
156,mareeba,-17.0,145.4333,24.71,82,49,1.99,AU,1702244925
157,la passe,45.5549,-0.8967,15.13,95,100,9.91,FR,1702244925
158,jutai,-5.1833,-68.9,26.36,88,100,0.23,BR,1702244925
159,san julian,21.0167,-102.1667,19.64,41,81,5.05,MX,1702244926
160,anda,46.4,125.3167,-26.31,90,9,1.24,CN,1702244926
161,keelung,25.1283,121.7419,25.0,90,56,0.93,TW,1702244926
162,kununurra,-15.7667,128.7333,25.99,65,75,3.6,AU,1702244926
163,sandnessjoen,66.0217,12.6316,0.06,64,75,2.06,NO,1702244927
164,horta,38.5333,-28.6333,17.8,76,40,8.75,PT,1702244928
165,luderitz,-26.6481,15.1594,18.11,65,2,8.5,NA,1702244950
166,whangarei,-35.7317,174.3239,20.51,54,83,2.43,NZ,1702244950
167,malabar,-33.9667,151.25,25.93,75,75,2.57,AU,1702244950
168,russkaya polyana,49.417,31.9201,0.7,99,100,3.11,UA,1702244951
169,nuuk,64.1835,-51.7216,-1.66,69,99,5.66,GL,1702244951
170,carnarvon,-24.8667,113.6333,25.15,25,0,8.08,AU,1702244951
171,yuzhno-kurilsk,44.0306,145.8556,0.76,76,99,4.95,RU,1702244952
172,bamboo flat,11.7,92.7167,26.05,94,20,1.03,IN,1702244952
173,talnakh,69.4865,88.3972,-27.11,99,100,4.11,RU,1702244953
174,xinyuan,37.3,99.0,-9.9,62,90,1.72,CN,1702244953
175,avarua,-21.2078,-159.775,28.03,74,100,11.83,CK,1702244953
176,humaita,-7.5061,-63.0208,30.22,59,94,1.33,BR,1702244954
177,aasiaat,68.7098,-52.8699,-5.02,94,100,7.52,GL,1702244954
178,lihue,21.9789,-159.3672,26.77,76,20,4.63,US,1702244954
179,dunkirk,51.05,2.3667,11.72,1,11,1.79,FR,1702244956
180,nar'yan-mar,67.6713,53.087,-22.72,91,98,4.92,RU,1702244956
181,northam,51.0333,-4.2167,12.59,85,36,14.77,GB,1702244956
182,pacocha,-17.5833,-71.3333,19.95,77,18,1.64,PE,1702244957
183,alice springs,-23.7,133.8833,12.75,71,100,3.6,AU,1702244849
184,port macquarie,-31.4333,152.9167,26.61,65,2,5.54,AU,1702244957
185,sumperk,49.9653,16.9706,4.42,99,100,2.04,CZ,1702244957
186,carauari,-4.8828,-66.8958,27.68,77,100,0.58,BR,1702244958
187,kuta,-8.7233,115.1723,26.97,83,20,1.03,ID,1702244958
188,beloyarskiy,63.7119,66.6722,-35.0,100,27,1.34,RU,1702244959
189,susuman,62.7833,148.1667,-22.21,99,97,2.54,RU,1702244980
